Track ID,Track Name,Artist,Album,Duration (ms),Popularity,Year,Explicit Content,Danceability,Energy,Loudness,Speechiness,Genre
4rHZZAmHpZrA3iH5zx8frV,Mirrors,Justin Timberlake,The 20/20 Experience (Deluxe Version),484146,85,2013,0,0.574,0.512,-6.664,0.0503,"dance pop, pop"
5PUvinSo4MNqW7vmomGRS7,Blurred Lines,Robin Thicke,Blurred Lines,263053,59,2013,0,0.861,0.504,-7.707,0.0489,"dance pop, neo soul, pop rap, r&b, urban contemporary"
2dLLR6qlu5UJ5gk0dKz0h3,Royals,Lorde,Pure Heroine,190185,83,2013,0,0.674,0.428,-9.504,0.122,"art pop, metropopolis, nz pop, pop"
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,I Love You.,240400,93,2013,0,0.612,0.807,-2.81,0.0336,"modern alternative rock, modern rock, pop"
3JvKfv6T31zO0ini8iNItO,Another Love,Tom Odell,Long Way Down (Deluxe),244360,92,2013,1,0.445,0.537,-8.532,0.04,chill pop
3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,Bruno Mars,Unorthodox Jukebox,233478,92,2012,0,0.726,0.698,-4.165,0.0431,"dance pop, pop"
0nrRP2bk19rLc0orkWPQk2,Wake Me Up,Avicii,True,247426,89,2013,0,0.532,0.783,-5.697,0.0523,"dance pop, edm, pop, pop dance"
086myS9r57YsLbJpU0TgK9,Why'd You Only Call Me When You're High?,Arctic Monkeys,AM,161123,91,2013,0,0.691,0.631,-6.478,0.0368,"garage rock, modern rock, permanent wave, rock, sheffield indie"
2XHzzp1j4IfTNp1FTn7YFg,Love Me,Lil Wayne,I Am Not A Human Being II (Deluxe),255053,88,2013,1,0.669,0.634,-6.476,0.0327,"hip hop, new orleans rap, pop rap, rap, trap"
4G8gkOterJn0Ywt6uhqbhp,Radioactive,Imagine Dragons,Night Visions,186813,76,2012,0,0.448,0.784,-3.686,0.0627,"modern rock, pop, rock"
6Z8R6UsFuGXGtiIxiD8ISb,Safe And Sound,Capital Cities,In A Tidal Wave Of Mystery (Deluxe Edition),192789,87,2013,0,0.655,0.819,-4.852,0.0316,"metropopolis, modern rock"
6lanRgr6wXibZr8KgzXxBl,a thousand years,Christina Perri,A Thousand Years,285120,86,2011,0,0.421,0.407,-7.445,0.0267,pop
1mKXFLRA179hdOWQBwUk9e,Just Give Me a Reason (feat. Nate Ruess),P!nk,The Truth About Love,242733,85,2012,0,0.778,0.547,-7.273,0.0489,"dance pop, pop"
0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,Bruno Mars,Unorthodox Jukebox,213826,92,2012,0,0.612,0.28,-8.648,0.0434,"dance pop, pop"
5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,Arctic Monkeys,AM,272394,90,2013,0,0.548,0.532,-7.596,0.0323,"garage rock, modern rock, permanent wave, rock, sheffield indie"
1V6gIisPpYqgFeWbMLI0bA,Heart Attack,Demi Lovato,Demi,210840,85,2013,0,0.504,0.785,-4.802,0.104,"pop, post-teen pop"
0NlGoUyOJSuSHmngoibVAs,All I Want,Kodaline,In A Perfect World (Expanded Edition),305746,84,2013,0,0.188,0.411,-9.733,0.0484,"irish pop, modern rock"
48RrDBpOSSl1aLVCalGl5C,The Monster,Eminem,The Marshall Mathers LP2,250188,83,2013,1,0.781,0.853,-3.68,0.0715,"detroit hip hop, hip hop, rap"
2ihCaVdNZmnHZWt0fvAM7B,Little Talks,Of Monsters and Men,My Head Is An Animal,266600,84,2012,0,0.457,0.757,-5.177,0.032,"folk-pop, metropopolis, modern rock, stomp and holler"
55h7vJchibLdUkxdlX3fK7,Treasure,Bruno Mars,Unorthodox Jukebox,178560,84,2012,1,0.874,0.692,-5.28,0.0431,"dance pop, pop"
2uwnP6tZVVmTovzX5ELooy,Power Trip (feat. Miguel),J. Cole,Born Sinner (Deluxe Version),241160,84,2013,1,0.667,0.608,-7.054,0.216,"conscious hip hop, hip hop, north carolina hip hop, rap"
1yjY7rpaAQvKwpdUliHx0d,Still into You,Paramore,Paramore,216013,83,2013,0,0.602,0.923,-3.763,0.044,"candy pop, modern rock, pixie, pop, pop emo, pop punk, rock"
